cruiseId,shipName,sailDateStart,sailDateEnd,sourceType,category,description,amount,verified
29779,Quantum of the Seas,11/17/25,11/17/25,RECEIPT,Retail Cost,4 Night Ensenada,818,TRUE
29779,Quantum of the Seas,11/17/25,11/17/25,RECEIPT,Casino Comp,4 Night Ensenada,-467,TRUE
29779,Quantum of the Seas,11/17/25,11/17/25,RECEIPT,Taxes/Fees,4 Night Ensenada,109.88,TRUE
29779,Quantum of the Seas,11/17/25,11/17/25,RECEIPT,Amount Paid,4 Night Ensenada,109.88,TRUE
29779,Quantum of the Seas,11/17/25,11/17/25,RECEIPT,Balance Due,4 Night Ensenada,0,TRUE
3152315,Quantum of the Seas,11/10/25,11/10/25,RECEIPT,Retail Cost,5 Night Cabo & Ensenada,1320,TRUE
3152315,Quantum of the Seas,11/10/25,11/10/25,RECEIPT,Casino Comp,5 Night Cabo & Ensenada,-746,TRUE
3152315,Quantum of the Seas,11/10/25,11/10/25,RECEIPT,Taxes/Fees,5 Night Cabo & Ensenada,133.27,TRUE
3152315,Quantum of the Seas,11/10/25,11/10/25,RECEIPT,Amount Paid,5 Night Cabo & Ensenada,133.27,TRUE
3152315,Quantum of the Seas,11/10/25,11/10/25,RECEIPT,Balance Due,5 Night Cabo & Ensenada,0,TRUE
1983174,Navigator of the Seas,9/19/25,9/19/25,RECEIPT,Retail Cost,3 Night Ensenada,686,TRUE
1983174,Navigator of the Seas,9/19/25,9/19/25,RECEIPT,Casino Comp,3 Night Ensenada,-426,TRUE
1983174,Navigator of the Seas,9/19/25,9/19/25,RECEIPT,Taxes/Fees,3 Night Ensenada,132.67,TRUE
1983174,Navigator of the Seas,9/19/25,9/19/25,RECEIPT,Amount Paid,3 Night Ensenada,132.67,TRUE
1983174,Navigator of the Seas,9/19/25,9/19/25,RECEIPT,Balance Due,3 Night Ensenada,0,TRUE
7815951,Ovation of the Seas,8/26/25,8/26/25,RECEIPT,Retail Cost,7 Night Alaska Glacier,1588,TRUE
7815951,Ovation of the Seas,8/26/25,8/26/25,RECEIPT,Casino Comp,7 Night Alaska Glacier,-946,TRUE
7815951,Ovation of the Seas,8/26/25,8/26/25,RECEIPT,Taxes/Fees,7 Night Alaska Glacier,110.1,TRUE
7815951,Ovation of the Seas,8/26/25,8/26/25,RECEIPT,Amount Paid,7 Night Alaska Glacier,149.1,TRUE
7815951,Ovation of the Seas,8/26/25,8/26/25,RECEIPT,Balance Due,7 Night Alaska Glacier,0,TRUE
2901567,Wonder of the Seas,7/13/25,7/13/25,RECEIPT,Retail Cost,7 Night Eastern Caribbean,2200,TRUE
2901567,Wonder of the Seas,7/13/25,7/13/25,RECEIPT,Casino Comp,7 Night Eastern Caribbean,-1300,TRUE
2901567,Wonder of the Seas,7/13/25,7/13/25,RECEIPT,Taxes/Fees,7 Night Eastern Caribbean,158.44,TRUE
2901567,Wonder of the Seas,7/13/25,7/13/25,RECEIPT,Amount Paid,7 Night Eastern Caribbean,158.44,TRUE
2901567,Wonder of the Seas,7/13/25,7/13/25,RECEIPT,Balance Due,7 Night Eastern Caribbean,0,TRUE
2755395,Liberty of the Seas,10/16/25,10/16/25,RECEIPT,Retail Cost,9 Night Canada & New England,2450,TRUE
2755395,Liberty of the Seas,10/16/25,10/16/25,RECEIPT,Casino Comp,9 Night Canada & New England,-1550,TRUE
